Day,Month,Title,Image,Time,Address,Direction,Description,Readmore_Link,Ticket_Links
10,Dec,Los Angeles Chargers vs Denver Broncos,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvSqZAd5PqfDD7_DcqaK_6ETTEhlasxNMnv6RpSJlAqOcUTVkzViC2nSc&s,"Sun, 1:25 – 5:25 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgBEAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/chargers-vs-broncos-at-sofi-stadium/,"https://www.ticketmaster.com/event/09005EB7E846490F
https://www.vividseats.com/los-angeles-chargers-tickets-sofi-stadium-3-1-2024--sports-nfl-football/production/4311845?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-chargers-vs-denver-broncos-inglewood-california-12-10-2023%2Fevent%2F0A005E94DE3F4A86
https://discovertorrance.com/events/chargers-vs-broncos-at-sofi-stadium/
https://www.foxsports.com/nfl/week-14-denver-broncos-vs-los-angeles-chargers-dec-10-2023-game-boxscore-10151"
8,Oct,Los Angeles Rams vs Philadelphia Eagles,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRULlNfVaiqcTi-EijyGok1QKbSa4Smdey-B0naGMbf6Byx3Re6vIal6M&s,"Sun, 1:05 – 5:05 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgJEAA,"View the Philadelphia Eagles vs Los Angeles Rams game played on October 08, 2023. Box score, stats, odds, highlights, play-by-play, social & more",https://www.foxsports.com/nfl/week-5-philadelphia-eagles-vs-los-angeles-rams-oct-08-2023-game-boxscore-10219,"https://www.ticketmaster.com/event/09005EB7AC5F2448
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-16-2024--sports-nfl-football/production/4311893?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-philadelphia-eagles-inglewood-california-10-08-2023%2Fevent%2F0A005E95A2F1291A
https://www.foxsports.com/nfl/week-5-philadelphia-eagles-vs-los-angeles-rams-oct-08-2023-game-boxscore-10219
https://thekiaforum.com/events-parkings/los-angeles-rams-vs-philadelphia-eagles-parking/"
23,Sep,Eric Clapton's Crossroads Guitar Festival 2023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnnlghKHOy-Lz1ljB8vK6AM87aIzitqVSJfcbdKzT7MPcvo0mpB8-IRUY&s,"Sat, 4:00 – 8:00 PM","Crypto.com Arena, 1111 S Figueroa St, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7b85dea2a93:0x1ff47c3ceb7bb2d5?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgREAA,"Two Different Nights Of Music. Not All Artists Will Perform Both Nights, But Eric Clapton Will Perform Both Nights. Joe Bonamassa Doyle Bramhall II James Bullard Gary Clark Jr Sheryl Crow Jerry...",https://www.cryptoarena.com/events/detail/ericclaptonguitarfestival23,"https://www.ticketmaster.com/eric-clapton-tickets/artist/768018?venueId=360457&utm_source=cryptocomarena&utm_medium=website&utm_campaign=CA_Eric_Clapton_23
https://www.timeout.com/los-angeles/music/eric-claptons-crossroads-guitar-festival
https://www.songkick.com/festivals/87111-crossroads/id/41069690-crossroads-festival-2023?utm_medium=organic&utm_source=microformat
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Feric-claptons-crossroads-guitar-festival-2023-los-angeles-california-09-23-2023%2Fevent%2F2C005E8D06D815B6
https://www.cryptoarena.com/events/detail/ericclaptonguitarfestival23"
22,Sep,BeachLife Ranch 2023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrwEjTnp7_BGTftqHpRACDSGtz8JaYKGh5-AA4pOPW1uRat3Lb-2OeBDQ&s,"Fri, Sep 22 – Sun, Sep 24","1550 Rosecrans Ave, Manhattan Beach, CA, USA",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b405cdb8dee5:0x350e3391bf7d22ae?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgZEAA,Win Tickets to BeachLife Ranch at Redondo Beach on DoLA #DoLA,https://dola.com/events/2023/9/22/beachlife-ranch-tickets,"https://beachliferanch.frontgatetickets.com/
https://www.songkick.com/festivals/3439326-beachlife-ranch/id/41143238-beachlife-ranch-2023?utm_medium=organic&utm_source=microformat
https://on.fgtix.com/trk/IP9M
https://www.lidodimanhattan.com/events/beach-life-ranch
https://www.livenation.com/venue/KovZ917AOrr/redondo-beach-events"
12,Nov,Los Angeles Chargers vs Detroit Lions,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyElfDh4m1srpdCz5YxP9pCX591ZmAFXFVEtRIcK0qRtz7mO_YOuT_QGI&s,"Sun, 1:05 – 5:05 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAghEAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/chargers-vs-lions-at-sofi-stadium/,"https://www.ticketmaster.com/event/09005EB7E83F48FA
https://www.vividseats.com/los-angeles-chargers-tickets-sofi-stadium-3-8-2024--sports-nfl-football/production/4311867?utm_medium=organic&utm_source=google_eventsearch
https://www.stubhub.co.uk/detroit-lions-at-los-angeles-chargers-tickets-sofi-stadium-11-12-2023/event/105903083/
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-chargers-vs-detroit-lions-inglewood-california-11-12-2023%2Fevent%2F0A005E94DE424A88
https://discovertorrance.com/events/chargers-vs-lions-at-sofi-stadium/"
17,Dec,Los Angeles Rams vs. Washington Commanders,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlpUycIgH4IyRgEoOYoge54BC7LaWgPsbDrnW015xDrWNdRZEbopwf2mE&s,"Sun, 1:05 – 5:05 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgpEAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/rams-vs-commanders-at-sofi-stadium/,"https://www.ticketmaster.com/event/09005EB7AC6D247A
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-18-2024--sports-nfl-football/production/4311904?utm_medium=organic&utm_source=google_eventsearch
https://suitehop.com/venues/sofi-stadium-suites/washington-commanders-at-los-angeles-rams-december-17-2023-105-pm/shared-suite-377037
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-washington-commanders-inglewood-california-12-17-2023%2Fevent%2F0A005E95A30A2938
https://discovertorrance.com/events/rams-vs-commanders-at-sofi-stadium/"
19,Nov,Los Angeles Rams vs. Seattle Seahawks NFL 23/24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2QLFbAq8jVNhT7JYxu0bp5F7TjDzYwLETiN1xQznCtgQL-KQrS15zhmA&s,"Sun, 1:25 – 5:25 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAgxEAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/rams-vs-seahawks-at-sofi-stadium/,"https://www.ticketmaster.com/los-angeles-rams-vs-seattle-seahawks-inglewood-california-11-19-2023/event/0A005E95A3012930
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-13-2024--sports-nfl-football/production/4311888?utm_medium=organic&utm_source=google_eventsearch
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-seattle-seahawks-inglewood-california-11-19-2023%2Fevent%2F0A005E95A3012930
https://discovertorrance.com/events/rams-vs-seahawks-at-sofi-stadium/
https://www.foxsports.com/nfl/week-11-seattle-seahawks-vs-los-angeles-rams-nov-19-2023-game-boxscore-10259"
25,Dec,Los Angeles Lakers vs Boston Celtics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm-4fOaAuVoHuubIp5BfxKdM6pgGoES9lN7PLre3dY_HHZzl_3DhvOJ3c&s,"Mon, 2:00 – 6:00 PM","Crypto.com Arena, 1111 S Figueroa St, Los Angeles, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c7b85dea2a93:0x1ff47c3ceb7bb2d5?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAg5EAA,"Boston Celtics vs Los Angeles Lakers Dec 25, 2023 game result including recap, highlights and game information",https://www.nba.com/game/bos-vs-lal-0022300403,"https://www.ticketmaster.com/los-angeles-lakers-vs-boston-celtics-los-angeles-california-12-25-2023/event/2C005F109AD10C85?utm_source=cryptocomarena&utm_medium=website&utm_campaign=CA_Lakers_2324
https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-12-25-2023--sports-nba-basketball/production/4547944?utm_medium=organic&utm_source=google_eventsearch
https://www.stubhub.ie/boston-celtics-at-los-angeles-lakers-tickets-crypto-com-arena-12-25-2023/event/106029063/
https://suitehop.com/venues/crypto-com-arena-suites/boston-celtics-at-los-angeles-lakers-december-25-2023-200-pm/shared-suite-374113
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-lakers-vs-boston-celtics-los-angeles-california-12-25-2023%2Fevent%2F2C005F109AD10C85"
3,Dec,Los Angeles Rams vs Cleveland Browns,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4s1429mUof3g2wi3xQs925KJ0Q-TlmO8A_XmL-wgyzrgOpJ0NdlMsRRc&s,"Sun, 1:25 – 5:25 PM","SoFi Stadium, 1001 Stadium Dr, Inglewood, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b786cbfb8f4f:0x5fb99cb7249e4170?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAhBEAA,"Address: SoFi Stadium - 1000 S Prairie Ave, Inglewood, CA 90301 Website: https://www.sofistadium.com/upcoming-events/",https://discovertorrance.com/events/rams-vs-browns-at-sofi-stadium/,"https://www.ticketmaster.com/los-angeles-rams-vs-cleveland-browns-inglewood-california-12-03-2023/event/0A005E95A2EA290E
https://www.vividseats.com/los-angeles-rams-tickets-sofi-stadium-3-14-2024--sports-nfl-football/production/4311889?utm_medium=organic&utm_source=google_eventsearch
https://www.stubhub.ie/cleveland-browns-at-los-angeles-rams-tickets-sofi-stadium-12-3-2023/event/105905056/
https://suitehop.com/venues/sofi-stadium-suites/cleveland-browns-at-los-angeles-rams-december-3-2023-125-pm/shared-suite-377202
https://ticketmaster.evyy.net/c/253520/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flos-angeles-rams-vs-cleveland-browns-inglewood-california-12-03-2023%2Fevent%2F0A005E95A2EA290E"
30,Sep,Michael Blackson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzcmS4EEjYUM_H2gm9idbOy_SYrU7y7MBv_fUtHLM&s,"Sat, 3:30 AM","Saban Theatre, 8440 Wilshire Blvd, Beverly Hills, CA, United States",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b9460c894db5:0xc07adc32e08ea673?sa=X&ved=2ahUKEwic2sTJopiBAxUPYqQEHaZ_Abs4ChD14gF6BAhJEAA,"Seen Michael Blackson? Loved it? Hated it? Help your fellow Los Angeles Theater visitors by leaving the first review. Everyone will love you for it, we promise!",https://www.los-angeles-theatre.com/theaters/sabantheater/michael-blackson-customer-reviews.php,"https://www.axs.com/events/471462/michael-blackson-y-alex-thomas-y-trey-elliot-tickets
https://www.shazam.com/track/225471936/michael-blackson-live
https://www.los-angeles-theatre.com/theaters/sabantheater/michael-blackson.php
https://www.stubhub.com/alex-thomas-tickets/performer/100315781/
https://www.unation.com/event/michael-blackson-40153658/"
